iter	Passed	Remaining
243	6772	7105
244	6804	7082
245	6837	7060
246	6861	7027
247	6884	6995
248	6916	6971
249	6940	6940
250	6969	6913
251	6996	6885
252	7020	6853
253	7043	6821
254	7067	6790
255	7096	6764
256	7124	6736
257	7148	6704
258	7171	6673
259	7194	6641
260	7227	6618
261	7256	6591
262	7279	6559
263	7307	6532
264	7341	6510
265	7374	6487
266	7398	6456
267	7421	6424
268	7455	6401
269	7486	6377
270	7518	6353
271	7546	6325
272	7574	6297
273	7606	6274
274	7639	6250
275	7662	6219
276	7690	6191
277	7713	6159
278	7737	6129
279	7770	6105
280	7797	6077
281	7825	6049
282	7857	6025
283	7893	6003
284	7925	5978
285	7949	5948
286	7982	5924
287	8010	5896
288	8042	5871
289	8076	5848
290	8109	5823
291	8144	5801
292	8177	5777
293	8200	5745
294	8223	5714
295	8255	5689
296	8281	5660
297	8314	5635
298	8342	5608
299	8375	5583
300	8402	5555
301	8425	5523
302	8453	5496
303	8487	5471
304	8516	5445
305	8547	5418
306	8572	5389
307	8603	5363
308	8626	5332
309	8656	5305
310	8682	5276
311	8714	5251
312	8738	5220
313	8774	5197
314	8802	5169
315	8833	5143
316	8875	5123
317	8906	5097
318	8949	5078
319	8983	5053
320	9006	5022
321	9043	4999
322	9073	4972
323	9097	4941
324	9131	4917
325	9165	4891
326	9198	4866
327	9236	4843
328	9259	4812
329	9292	4786
330	9326	4761
331	9360	4736
332	9395	4711
333	9427	4685
334	9460	4659
335	9492	4633
336	9526	4607
337	9554	4579
338	9587	4553
339	9619	4526
340	9652	4500
341	9688	4475
342	9722	4450
343	9745	4419
344	9780	4394
345	9812	4367
346	9845	4341
347	9878	4314
348	9912	4288
349	9935	4257
350	9967	4231
351	9999	4204
352	10033	4178
353	10056	4147
354	10089	4121
355	10122	4094
356	10155	4067
357	10184	4039
358	10216	4012
359	10249	3986
360	10282	3959
361	10316	3932
362	10349	3905
363	10382	3879
364	10407	3849
365	10440	3822
366	10473	3795
367	10506	3768
368	10539	3741
369	10574	3715
370	10607	3688
371	10640	3661
372	10672	3633
373	10707	3607
374	10731	3577
375	10764	3550
376	10797	3522
377	10830	3495
378	10862	3468
379	10895	3440
380	10927	3413
381	10960	3385
382	10984	3355
383	11017	3328
384	11050	3300
385	11082	3273
386	11118	3246
387	11152	3219
388	11184	3191
389	11217	3164
390	11249	3136
391	11281	3108
392	11313	3080
393	11346	3052
394	11379	3025
395	11412	2997
396	11436	2967
397	11468	2939
398	11502	2911
399	11535	2883
400	11568	2856
401	11601	2828
402	11634	2800
